USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     23674  0.0  0.0      0     0 ?        S<   Jun23   0:07 [kworker/1:1H]
root     23675  0.0  0.0      0     0 ?        S<   Jun23   0:00 [kworker/0:0H]
root     24371  0.0  0.1 206700 24352 ?        Ss   May28   1:11 php-fpm: master process (/etc/php/7.0/fpm/php-fpm.conf)
www-data 24373  0.0  0.0 206700  6364 ?        S    May28   0:00 php-fpm: pool www
www-data 24374  0.0  0.0 206700  6364 ?        S    May28   0:00 php-fpm: pool www
root     24412  0.0  0.0  36136  3396 ?        Ss   Feb06   0:06 /lib/systemd/systemd-udevd
root     24513  0.0  0.0  32148  2648 ?        Ss   Apr21   0:00 SCREEN -S shared
hbologna 24514  0.0  0.0  14520  3628 pts/22   Ss+  Apr21   0:00 /bin/bash
root     25651  0.0  0.0  32160  3020 ?        Ss   May13   0:05 SCREEN -S shared
lrose    25652  0.0  0.0  14612  5412 pts/21   Ss+  May13   0:00 /bin/bash
root     26241  0.0  0.4 283092 58504 ?        S    Mar25  66:56 /usr/lib/x86_64-linux-gnu/sssd/sssd_be --domain cs.local --uid 0 --gid 0 --debug-to-files
cbell    26747  0.0  0.0  37204  2696 ?        Ss   Apr09   0:03 /lib/systemd/systemd --user
cbell    26753  0.0  0.0  70588   268 ?        S    Apr09   0:00 (sd-pam)
mkim     26850  0.0  0.0  37204  2224 ?        Ss   Apr09   0:04 /lib/systemd/systemd --user
mkim     26853  0.0  0.0  70588     4 ?        S    Apr09   0:00 (sd-pam)
root     26858  0.0  0.0      0     0 ?        S<   May14   0:00 [kworker/7:2H]
root     26883  0.0  0.0      0     0 ?        S<   May14   0:00 [kworker/4:2H]
